Anos_de_Atraso;CO_PESSOA_FISICA;NU_ANO;Raça/Cor;etapa;idade_calculada;Sexo;Zona Residencial;Evasao;rep;prom;Probabilidade de Evasão;Probabilidade de Repetência;Probabilidade de Promoção
1.0;124315054568;2009;Branco;2.0;8;Feminino;Urbana;0;0;1;40.0;5.0;55.0
3.0;124336031702;2007;Parda;2.0;10;Feminino;Urbana;0;0;1;37.0;30.0;33.0
0.0;124163778259;2010;Branco;2.0;7;Masculino;Urbana;0;0;1;39.0;2.0;58.0
0.0;123815102307;2010;Parda;2.0;7;Feminino;Urbana;1;0;0;39.0;2.0;59.0
1.0;123475347937;2009;Branco;2.0;8;Masculino;Urbana;0;0;1;41.0;6.0;53.0
1.0;122406350028;2009;Branco;2.0;8;Feminino;Urbana;0;0;1;40.0;5.0;55.0
2.0;122270953346;2008;Preta;2.0;9;Masculino;Urbana;0;0;1;41.0;17.0;43.0
1.0;123847029397;2009;Branco;2.0;8;Masculino;Urbana;0;0;1;41.0;6.0;53.0
1.0;123862028444;2009;Parda;2.0;8;Masculino;Urbana;0;0;1;41.0;7.0;52.0
1.0;124111310205;2009;Branco;2.0;8;Masculino;Urbana;0;0;1;41.0;6.0;53.0
1.0;124315995664;2009;Branco;2.0;8;Feminino;Urbana;0;0;1;40.0;5.0;55.0
0.0;126368885601;2011;Parda;1.0;6;Masculino;Urbana;1;0;0;50.0;3.0;47.0
1.0;125176602120;2010;Não Declarada;1.0;7;Feminino;Urbana;1;0;0;51.0;7.0;42.0
0.0;124365580190;2011;Branco;1.0;6;Masculino;Urbana;1;0;0;49.0;3.0;48.0
1.0;123676474456;2010;Não Declarada;1.0;7;Feminino;Urbana;1;0;0;51.0;7.0;42.0
1.0;123831031362;2010;Branco;1.0;7;Masculino;Urbana;1;0;0;52.0;7.0;42.0
3.0;122377311791;2008;Preta;1.0;9;Masculino;Urbana;1;0;0;45.0;33.0;21.0
1.0;123822959374;2010;Não Declarada;1.0;7;Feminino;Urbana;1;0;0;51.0;7.0;42.0
1.0;123816307085;2010;Branco;1.0;7;Feminino;Urbana;1;0;0;51.0;6.0;43.0
1.0;124237945927;2010;Branco;1.0;7;Feminino;Urbana;1;0;0;51.0;6.0;43.0
0.0;124344395785;2011;Não Declarada;1.0;6;Masculino;Urbana;1;0;0;50.0;3.0;47.0
1.0;127327676383;2010;Não Declarada;1.0;7;Masculino;Urbana;1;0;0;52.0;8.0;41.0
0.0;126220180100;2011;Parda;1.0;6;Feminino;Urbana;1;0;0;49.0;3.0;49.0
1.0;125341064223;2010;Parda;1.0;7;Masculino;Urbana;1;0;0;52.0;8.0;41.0
1.0;124876840627;2010;Parda;1.0;7;Feminino;Urbana;1;0;0;51.0;7.0;42.0
1.0;123955324361;2010;Parda;1.0;7;Masculino;Urbana;1;0;0;52.0;8.0;41.0
1.0;124187894208;2010;Branco;1.0;7;Feminino;Urbana;1;0;0;51.0;6.0;43.0
1.0;124096816115;2010;Parda;1.0;7;Feminino;Urbana;1;0;0;51.0;7.0;42.0
1.0;123541265816;2010;Parda;1.0;7;Masculino;Urbana;1;0;0;52.0;8.0;41.0
1.0;123264904950;2010;Não Declarada;1.0;7;Masculino;Urbana;0;1;0;52.0;8.0;41.0
2.0;123358794643;2009;Preta;1.0;8;Feminino;Urbana;1;0;0;51.0;16.0;33.0
1.0;123150100126;2010;Parda;1.0;7;Masculino;Urbana;1;0;0;52.0;8.0;41.0
